zcta,total_population,median_household_income
04623,1125,54286.0
04624,213,58750.0
04625,65,68000.0
04626,528,56667.0
04627,1883,60536.0
04628,514,50427.0
04630,1294,56875.0
04631,1230,46205.0
04634,2218,66607.0
04635,17,41750.0
04640,2451,69504.0
04642,194,61406.0
04643,864,62344.0
04645,59,
04646,122,74250.0
04648,494,54375.0
04649,1276,61667.0
04650,391,106964.0
04652,1489,58125.0
04653,604,86818.0
04654,3363,48049.0
04655,1001,52188.0
04657,313,50417.0
04658,1261,47308.0
04660,1124,83750.0
04662,495,150250.0
04664,1240,59318.0
04666,1253,61071.0
04667,1307,71023.0
04668,1934,43173.0
04669,178,82857.0
04671,647,63125.0
04673,156,
04674,279,77917.0
04675,100,
04676,1127,74598.0
04677,322,76250.0
04679,1544,54333.0
04680,1233,69837.0
04681,906,60147.0
04683,0,
04684,1834,77632.0
04685,388,78125.0
04686,166,48750.0
04691,527,52400.0
04693,441,63015.0
04694,2263,57813.0
04730,10062,55345.0
04732,1535,48854.0
04733,550,55278.0
04734,854,75605.0
04735,494,53333.0
04736,9107,56189.0
04737,0,
04739,809,52083.0
04740,1430,44410.0
04742,3321,68112.0
04743,4754,61628.0
04745,876,50000.0
04746,416,34167.0
